0x003CAEF6,0x02566C87
0x803C9636,0x025776A2
0x803C7D2B,0x02588124
0x803C63D5,0x02598C0E
0x003C4A34,0x025A975F
0x003C3047,0x025BA317
0x803C160F,0x025CAF37
0x803BFB8C,0x025DBBBE
0x003BE0BD,0x025EC8AC
0x003BC5A2,0x025FD601
0x003BAA3C,0x0260E3BD
0x803B8E8A,0x0261F1E0
0x803B728C,0x0263006A
0x003B5642,0x02640F5B
0x003B39AC,0x02651EB3
0x003B1CCA,0x02662E72
0x803AFF9C,0x02673E97
0x803AE222,0x02684F23
0x003AC45B,0x02696016
0x003AA648,0x026A716F
0x003A87E9,0x026B832F
0x803A693D,0x026C9555
0x803A4A45,0x026DA7E1
0x003A2B00,0x026EBAD3
0x003A0B6E,0x026FCE2B
0x8039EB90,0x0270E1EA
0x8039CB65,0x0271F60F
0x8039AAED,0x02730A99
0x00398A28,0x02741F89
0x00396916,0x027534DF
0x003947B7,0x02764A9B
0x8039260B,0x027760BC
0x80390412,0x02787743
0x0038E1CC,0x02798E2F
0x0038BF38,0x027AA580
0x80389C57,0x027BBD37
0x80387929,0x027CD553
0x003855AD,0x027DEDD4
0x003831E4,0x027F06BA
0x00380DCD,0x02802004
0x8037E969,0x028139B3
0x8037C4B7,0x028253C7
0x00379FB7,0x02836E3F
0x00377A69,0x0284891C
0x003754CE,0x0285A45D
0x80372EE5,0x0286C002
0x803708AE,0x0287DC0B
0x0036E229,0x0288F878
0x0036BB56,0x028A1549
0x00369435,0x028B327E
0x80366CC6,0x028C5017
0x80364509,0x028D6E13
0x00361CFD,0x028E8C72
0x0035F4A3,0x028FAB35
0x0035CBFB,0x0290CA5B
0x8035A305,0x0291E9E4
0x803579C0,0x029309D0
0x0035502D,0x02942A1F
0x0035264B,0x02954AD0
0x8034FC1B,0x02966BE4
0x8034D19C,0x02978D5A
0x8034A6CF,0x0298AF33
0x00347BB3,0x0299D16E
0x00345049,0x029AF40B
0x80342490,0x029C170A
0x8033F888,0x029D3A6A
0x0033CC32,0x029E5E2C
0x00339F8D,0x029F8250
0x00337299,0x02A0A6D5
0x80334556,0x02A1CBBB
0x803317C4,0x02A2F102
0x0032E9E4,0x02A416AA
0x0032BBB5,0x02A53CB3
0x00328D37,0x02A6631C
0x80325E6A,0x02A789E6
0x80322F4E,0x02A8B110
0x0031FFE3,0x02A9D89A
0x0031D029,0x02AB0084
0x0031A020,0x02AC28CE
0x80316FC7,0x02AD5178
0x80313F1F,0x02AE7A81
0x00310E28,0x02AFA3EA
0x0030DCE2,0x02B0CDB2
0x8030AB4D,0x02B1F7D9
0x80307969,0x02B3225F
0x80304735,0x02B44D43
0x003014B2,0x02B57886
0x002FE1E0,0x02B6A427
0x802FAEBF,0x02B7D026
0x802F7B4E,0x02B8FC83
0x002F478E,0x02BA293E
0x002F137F,0x02BB5657
0x002EDF20,0x02BC83CD
0x802EAA72,0x02BDB1A0
0x802E7575,0x02BEDFD1
0x002E4028,0x02C00E5E
